project_id,created_date,due_date,completed_date,department,content_type,complexity,workflow,prompt_template,pages,actual_hours,baseline_hours,hours_saved,actual_cost_inr,baseline_cost_inr,cost_saved_inr,revisions,first_pass_approved,quality_score,on_time,status
PUB-0140,2026-06-17,2026-06-26,2026-06-19,Design,Illustration,Medium,AI-Assisted,Few-shot v2,69,13.1,25.7,12.6,11236.03,22029.96,10793.93,0,Yes,86.9,Yes,Completed
PUB-0141,2025-11-12,2025-11-25,2025-11-20,Production,Workbook,Low,Manual,Manual / NA,198,58.9,61.1,2.2,58911.33,61069.91,2158.58,0,Yes,95.8,Yes,Completed
PUB-0142,2025-07-04,2025-07-10,,Production,Illustration,Medium,Manual,Manual / NA,57,30.7,31.7,1.0,34032.72,35138.31,1105.59,0,,89.3,,In Progress
PUB-0143,2025-05-17,2025-05-31,2025-05-23,Production,Workbook,Low,AI-Assisted,Few-shot v2,143,45.9,67.5,21.6,47189.32,69356.93,22167.61,0,Yes,80.5,Yes,Completed
PUB-0144,2025-08-24,2025-09-07,2025-09-01,Editorial,Workbook,High,AI-Assisted,Visual Brief,193,59.7,93.5,33.8,57160.46,89541.13,32380.67,0,Yes,91.0,Yes,Completed
PUB-0145,2025-04-14,2025-04-22,2025-04-16,Production,Workbook,Medium,AI-Assisted,Visual Brief,70,16.8,31.4,14.6,12745.06,23817.25,11072.19,0,Yes,95.1,Yes,Completed
PUB-0146,2025-11-23,2025-11-27,,Production,Illustration,Medium,Manual,Manual / NA,34,13.5,13.3,0,10267.04,10123.75,0,0,,87.3,,In Review
PUB-0147,2025-06-29,2025-07-19,2025-07-07,Production,Workbook,Medium,AI-Assisted,Visual Brief,172,51.0,91.7,40.7,43766.28,78654.73,34888.45,1,No,87.6,Yes,Completed
PUB-0148,2025-05-28,2025-06-10,2025-06-03,Digital Learning,E-book,Medium,AI-Assisted,Visual Brief,150,36.2,66.8,30.6,29507.76,54465.32,24957.56,1,No,81.2,Yes,Completed
PUB-0149,2025-07-15,2025-07-19,,Editorial,Workbook,Low,AI-Assisted,Structured v3,26,7.4,11.2,3.8,6877.75,10454.05,3576.3,0,,92.4,,In Review
PUB-0150,2025-05-01,2025-05-10,2025-05-03,Production,Illustration,Medium,Manual,Manual / NA,30,11.7,12.4,0.7,9260.9,9798.81,537.91,0,Yes,81.4,Yes,Completed
PUB-0151,2026-01-04,2026-01-15,2026-01-13,Design,Assessment,High,AI-Assisted,Visual Brief,64,19.2,36.4,17.2,15484.05,29326.57,13842.52,2,No,85.7,Yes,Completed
PUB-0152,2026-03-04,2026-03-16,2026-03-07,Editorial,School Textbook,Medium,AI-Assisted,Few-shot v2,70,22.7,35.3,12.6,17675.66,27471.99,9796.33,0,Yes,88.0,Yes,Completed
PUB-0153,2026-04-17,2026-04-29,2026-04-20,Editorial,Illustration,Low,AI-Assisted,Editorial QA,66,21.6,30.1,8.5,24378.16,33940.19,9562.03,0,Yes,90.1,Yes,Completed
PUB-0154,2025-01-07,2025-01-14,2025-01-08,Design,E-book,Low,AI-Assisted,Editorial QA,10,1.9,3.8,1.9,1840.84,3657.12,1816.28,0,Yes,87.2,Yes,Completed
PUB-0155,2025-01-07,2025-01-18,2025-01-13,Design,Workbook,High,AI-Assisted,Editorial QA,145,47.0,69.6,22.6,46389.77,68721.85,22332.08,0,Yes,91.2,Yes,Completed
PUB-0156,2025-07-16,2025-07-25,2025-07-17,Production,Workbook,Medium,AI-Assisted,Editorial QA,28,7.7,12.6,4.9,8817.4,14406.86,5589.46,0,Yes,87.6,Yes,Completed
PUB-0157,2025-02-02,2025-02-10,2025-02-03,Editorial,Workbook,Medium,AI-Assisted,Structured v3,10,2.6,3.8,1.2,2528.38,3677.73,1149.35,0,Yes,99,Yes,Completed
PUB-0158,2026-05-02,2026-05-15,2026-05-07,Editorial,E-book,Medium,AI-Assisted,Structured v3,147,37.9,54.0,16.1,30594.48,43578.21,12983.73,0,Yes,86.9,Yes,Completed
PUB-0159,2026-02-12,2026-02-26,2026-02-16,Digital Learning,Workbook,Medium,AI-Assisted,Few-shot v2,107,29.3,51.2,21.9,29882.27,52263.21,22380.94,0,Yes,88.2,Yes,Completed
PUB-0160,2026-03-24,2026-04-09,2026-03-30,Editorial,School Textbook,Medium,AI-Assisted,Editorial QA,160,41.3,84.8,43.5,32489.2,66731.98,34242.78,0,Yes,86.9,Yes,Completed
PUB-0161,2026-01-20,2026-01-28,2026-01-22,Design,Illustration,High,AI-Assisted,Structured v3,41,14.0,28.0,14.0,10179.55,20340.01,10160.46,0,Yes,83.0,Yes,Completed
PUB-0162,2025-01-06,2025-01-10,2025-01-07,Digital Learning,Workbook,Low,Manual,Manual / NA,34,10.8,11.2,0.4,10015.6,10373.73,358.13,0,Yes,78.3,Yes,Completed
PUB-0163,2025-04-06,2025-04-11,2025-04-07,Production,Illustration,Medium,Manual,Manual / NA,5,2.0,2.2,0.2,2201.14,2450.5,249.36,0,Yes,92.1,Yes,Completed
PUB-0164,2025-05-23,2025-06-04,2025-05-25,Editorial,Workbook,Medium,AI-Assisted,Structured v3,78,18.1,36.4,18.3,14042.88,28232.72,14189.84,0,Yes,88.0,Yes,Completed
PUB-0165,2025-07-20,2025-08-05,2025-07-27,Design,School Textbook,Medium,AI-Assisted,Few-shot v2,166,53.4,91.2,37.8,46207.45,78957.19,32749.74,0,Yes,84.7,Yes,Completed
PUB-0166,2025-07-25,2025-08-14,2025-08-02,Design,School Textbook,Medium,AI-Assisted,Structured v3,196,56.7,91.7,35.0,43727.73,70745.01,27017.28,0,Yes,83.0,Yes,Completed
PUB-0167,2025-07-24,2025-08-01,2025-08-02,Production,Assessment,High,AI-Assisted,Few-shot v2,63,22.7,33.8,11.1,24190.05,35990.06,11800.01,2,No,88.1,No,Completed
PUB-0168,2025-09-16,2025-09-26,2025-09-17,Production,Illustration,Medium,Manual,Manual / NA,13,6.4,6.4,0,5869.98,5860.89,0,0,Yes,77.1,Yes,Completed
PUB-0169,2025-02-07,2025-02-24,2025-02-17,Digital Learning,Workbook,Medium,Manual,Manual / NA,145,73.4,81.4,8.0,56820.08,62989.31,6169.23,0,Yes,88.8,Yes,Completed
PUB-0170,2026-02-14,2026-02-22,2026-02-16,Digital Learning,Workbook,Low,Manual,Manual / NA,35,11.8,12.0,0.2,10730.91,10881.57,150.66,0,Yes,91.6,Yes,Completed
PUB-0171,2026-02-05,2026-02-11,2026-02-06,Design,Illustration,Medium,AI-Assisted,Structured v3,7,2.1,3.0,0.9,1455.15,2061.44,606.29,0,Yes,88.4,Yes,Completed
PUB-0172,2026-06-18,2026-06-24,2026-06-20,Design,Workbook,Low,AI-Assisted,Editorial QA,89,17.6,27.0,9.4,11638.75,17848.43,6209.68,0,Yes,83.9,Yes,Completed
PUB-0173,2025-09-07,2025-09-13,2025-09-09,Design,Assessment,Low,AI-Assisted,Few-shot v2,63,12.2,23.2,11.0,11836.92,22510.57,10673.65,0,Yes,96.5,Yes,Completed
PUB-0174,2026-02-03,2026-02-17,2026-02-09,Editorial,School Textbook,Low,AI-Assisted,Editorial QA,211,45.6,66.2,20.6,33902.68,49188.88,15286.2,0,Yes,90.4,Yes,Completed
PUB-0175,2026-05-17,2026-05-21,2026-05-18,Design,Assessment,Medium,AI-Assisted,Editorial QA,18,6.2,9.8,3.6,6552.59,10387.17,3834.58,0,Yes,86.8,Yes,Completed
PUB-0176,2025-05-01,2025-05-14,,Editorial,School Textbook,Medium,AI-Assisted,Structured v3,107,23.9,41.8,17.9,17754.76,31026.55,13271.79,0,,96.3,,In Review
PUB-0177,2025-06-27,2025-07-13,2025-07-03,Design,Workbook,Medium,AI-Assisted,Structured v3,123,48.0,67.7,19.7,42830.61,60409.93,17579.32,0,Yes,83.7,Yes,Completed
PUB-0178,2026-05-19,2026-05-29,2026-05-20,Design,Illustration,High,AI-Assisted,Structured v3,7,1.8,3.8,2.0,1372.36,2877.91,1505.55,0,Yes,93.7,Yes,Completed
PUB-0179,2026-05-23,2026-06-17,2026-06-04,Design,School Textbook,High,AI-Assisted,Editorial QA,218,91.2,137.9,46.7,93936.19,142046.4,48110.21,0,Yes,90.1,Yes,Completed
PUB-0180,2025-11-01,2025-11-09,2025-11-03,Digital Learning,School Textbook,Medium,AI-Assisted,Visual Brief,30,11.6,17.4,5.8,8914.29,13340.78,4426.49,0,Yes,94.7,Yes,Completed
PUB-0181,2026-03-15,2026-03-25,,Editorial,School Textbook,Medium,AI-Assisted,Structured v3,23,6.8,11.0,4.2,4992.48,8056.5,3064.02,0,,87.1,,In Progress
PUB-0182,2025-04-08,2025-04-19,2025-04-10,Editorial,Illustration,High,AI-Assisted,Structured v3,39,13.7,20.0,6.3,10615.29,15473.44,4858.15,0,Yes,95.9,Yes,Completed
PUB-0183,2026-02-07,2026-02-16,2026-02-09,Design,Assessment,Low,AI-Assisted,Few-shot v2,61,17.8,26.8,9.0,15155.37,22776.72,7621.35,0,Yes,85.2,Yes,Completed
PUB-0184,2025-01-03,2025-01-18,2025-01-08,Digital Learning,E-book,Medium,AI-Assisted,Visual Brief,170,36.9,74.6,37.7,33845.13,68421.77,34576.64,0,Yes,78.4,Yes,Completed
PUB-0185,2025-11-27,2025-12-18,2025-12-06,Digital Learning,Workbook,High,AI-Assisted,Few-shot v2,132,64.3,97.0,32.7,43272.07,65279.48,22007.41,0,Yes,89.5,Yes,Completed
PUB-0186,2025-01-01,2025-01-06,2025-01-06,Digital Learning,Workbook,High,Manual,Manual / NA,41,24.3,23.1,0,26445.63,25115.0,0,1,No,82.5,Yes,Completed
PUB-0187,2025-06-19,2025-06-23,2025-06-24,Editorial,Assessment,Medium,Manual,Manual / NA,33,11.3,12.5,1.2,8550.83,9490.74,939.91,1,No,77.5,No,Completed
PUB-0188,2025-05-04,2025-05-15,2025-05-07,Digital Learning,Workbook,Low,AI-Assisted,Structured v3,106,23.6,46.7,23.1,19677.23,38940.09,19262.86,0,Yes,88.3,Yes,Completed
PUB-0189,2025-05-27,2025-06-01,2025-05-29,Editorial,Assessment,Medium,AI-Assisted,Structured v3,48,12.3,23.9,11.6,10527.02,20465.65,9938.63,0,Yes,90.5,Yes,Completed
PUB-0190,2026-01-29,2026-02-10,2026-02-02,Design,Workbook,Medium,Manual,Manual / NA,71,26.6,26.9,0.3,25270.1,25532.27,262.17,0,Yes,83.2,Yes,Completed
PUB-0191,2025-11-05,2025-11-09,,Editorial,Assessment,High,AI-Assisted,Few-shot v2,10,3.8,7.1,3.3,3203.18,5948.76,2745.58,2,,96.2,,In Review
PUB-0192,2025-05-16,2025-05-21,,Design,Illustration,High,AI-Assisted,Few-shot v2,26,13.0,19.6,6.6,8558.48,12878.34,4319.86,1,,92.4,,In Review
PUB-0193,2026-02-12,2026-02-23,2026-02-14,Design,Assessment,Low,AI-Assisted,Few-shot v2,55,13.5,21.6,8.1,10647.91,17004.94,6357.03,0,Yes,85.3,Yes,Completed
PUB-0194,2026-02-05,2026-02-13,2026-02-10,Production,Illustration,Medium,AI-Assisted,Editorial QA,43,15.3,22.4,7.1,10387.98,15198.64,4810.66,1,No,87.1,Yes,Completed
PUB-0195,2025-11-13,2025-11-18,2025-11-14,Production,Assessment,Medium,AI-Assisted,Structured v3,21,5.9,8.3,2.4,5377.87,7580.88,2203.01,0,Yes,88.4,Yes,Completed
PUB-0196,2025-10-03,2025-10-12,2025-10-09,Production,School Textbook,High,Manual,Manual / NA,93,46.0,51.5,5.5,46283.43,51856.6,5573.17,0,Yes,81.7,Yes,Completed
PUB-0197,2026-01-04,2026-01-18,2026-01-11,Editorial,E-book,Low,AI-Assisted,Structured v3,205,53.4,81.7,28.3,40808.4,62466.21,21657.81,0,Yes,99,Yes,Completed
PUB-0198,2026-01-28,2026-02-04,2026-01-29,Digital Learning,School Textbook,Medium,Manual,Manual / NA,17,9.8,9.5,0,8424.91,8199.81,0,0,Yes,88.0,Yes,Completed
PUB-0199,2025-03-21,2025-04-01,2025-03-26,Production,School Textbook,High,AI-Assisted,Structured v3,65,35.0,49.4,14.4,23956.21,33821.5,9865.29,0,Yes,86.9,Yes,Completed
PUB-0200,2025-01-09,2025-01-24,,Design,Workbook,Medium,Manual,Manual / NA,197,90.9,91.0,0.1,81508.24,81621.75,113.51,0,,95.4,,In Review
PUB-0201,2025-09-09,2025-09-28,2025-09-21,Editorial,E-book,High,AI-Assisted,Few-shot v2,170,87.9,124.1,36.2,57199.26,80748.91,23549.65,0,Yes,94.2,Yes,Completed
PUB-0202,2025-09-01,2025-09-10,2025-09-03,Design,E-book,Medium,Manual,Manual / NA,44,17.8,16.7,0,19555.86,18391.84,0,0,Yes,77.8,Yes,Completed
PUB-0203,2025-03-28,2025-04-06,2025-03-29,Production,Assessment,Medium,AI-Assisted,Few-shot v2,11,3.4,6.3,2.9,2653.68,4911.98,2258.3,0,Yes,91.7,Yes,Completed
PUB-0204,2025-10-06,2025-10-16,2025-10-07,Editorial,E-book,Low,AI-Assisted,Editorial QA,35,6.7,11.4,4.7,5716.82,9701.41,3984.59,0,Yes,80.9,Yes,Completed
PUB-0205,2026-04-20,2026-05-06,2026-05-04,Editorial,School Textbook,Medium,AI-Assisted,Editorial QA,219,57.4,107.9,50.5,61893.65,116354.8,54461.15,2,No,91.2,Yes,Completed
PUB-0206,2025-06-28,2025-07-04,2025-07-02,Editorial,Workbook,Low,AI-Assisted,Editorial QA,71,14.9,22.3,7.4,10589.83,15823.95,5234.12,2,No,84.7,Yes,Completed
PUB-0207,2026-02-15,2026-02-25,2026-02-17,Design,Assessment,High,AI-Assisted,Editorial QA,37,13.2,18.4,5.2,9885.15,13770.41,3885.26,0,Yes,89.9,Yes,Completed
PUB-0208,2026-04-18,2026-04-30,,Editorial,E-book,Low,AI-Assisted,Editorial QA,135,29.5,56.5,27.0,22342.06,42783.89,20441.83,0,,86.7,,In Review
PUB-0209,2025-02-05,2025-02-16,2025-02-07,Production,Assessment,Low,AI-Assisted,Few-shot v2,65,11.5,22.5,11.0,8621.88,16845.4,8223.52,0,Yes,81.3,Yes,Completed
PUB-0210,2026-01-27,2026-02-13,2026-02-01,Production,Workbook,Medium,AI-Assisted,Few-shot v2,152,35.4,67.7,32.3,28654.13,54805.05,26150.92,0,Yes,87.7,Yes,Completed
PUB-0211,2026-04-29,2026-05-04,2026-04-30,Design,Illustration,Low,Manual,Manual / NA,24,9.3,9.9,0.6,9840.73,10506.04,665.31,0,Yes,99,Yes,Completed
PUB-0212,2026-02-02,2026-02-11,2026-02-03,Design,Illustration,Low,Manual,Manual / NA,26,9.4,9.2,0,7796.28,7602.84,0,0,Yes,91.3,Yes,Completed
PUB-0213,2025-05-26,2025-06-06,2025-06-01,Design,School Textbook,Medium,Manual,Manual / NA,134,47.4,53.4,6.0,32141.18,36220.14,4078.96,0,Yes,91.2,Yes,Completed
PUB-0214,2025-05-14,2025-05-22,2025-05-19,Design,School Textbook,Low,Manual,Manual / NA,90,29.6,29.0,0,21336.46,20879.64,0,1,No,84.2,Yes,Completed
PUB-0215,2026-02-10,2026-03-08,2026-03-01,Production,Workbook,High,AI-Assisted,Visual Brief,195,97.7,137.5,39.8,95217.46,134010.49,38793.03,3,No,79.8,Yes,Completed
PUB-0216,2025-06-29,2025-07-03,2025-06-30,Design,Illustration,High,AI-Assisted,Structured v3,4,1.7,3.0,1.3,1950.14,3444.65,1494.51,0,Yes,77.1,Yes,Completed
PUB-0217,2025-08-15,2025-08-22,2025-08-18,Production,School Textbook,Low,AI-Assisted,Structured v3,27,6.6,12.8,6.2,7211.56,13937.29,6725.73,2,No,78.4,Yes,Completed
PUB-0218,2025-09-13,2025-09-27,2025-09-23,Production,Workbook,Low,Manual,Manual / NA,192,71.9,70.0,0,81574.21,79470.78,0,0,Yes,76.2,Yes,Completed
PUB-0219,2026-01-20,2026-02-03,,Editorial,Workbook,Medium,Manual,Manual / NA,174,69.2,71.3,2.1,72632.13,74810.37,2178.24,1,,83.2,,In Review
PUB-0220,2025-06-14,2025-06-23,2025-06-15,Production,Assessment,Medium,Manual,Manual / NA,15,9.2,8.7,0,9220.72,8670.9,0,0,Yes,87.6,Yes,Completed
PUB-0221,2026-03-21,2026-04-10,2026-03-30,Editorial,School Textbook,Medium,AI-Assisted,Structured v3,186,63.9,104.8,40.9,62641.1,102769.12,40128.02,0,Yes,93.5,Yes,Completed
PUB-0222,2026-01-05,2026-01-16,2026-01-13,Editorial,School Textbook,Medium,Manual,Manual / NA,168,60.1,67.9,7.8,44198.51,49905.32,5706.81,0,Yes,88.1,Yes,Completed
PUB-0223,2025-11-12,2025-11-21,2025-11-16,Production,Workbook,Low,Manual,Manual / NA,75,27.1,29.5,2.4,29613.43,32238.23,2624.8,0,Yes,80.9,Yes,Completed
PUB-0224,2025-10-03,2025-10-22,2025-10-11,Design,School Textbook,Medium,AI-Assisted,Structured v3,179,61.1,85.8,24.7,57731.14,81033.61,23302.47,0,Yes,90.4,Yes,Completed
PUB-0225,2026-03-05,2026-03-14,2026-03-07,Digital Learning,Illustration,Medium,Manual,Manual / NA,34,13.6,12.8,0,13697.28,12922.36,0,0,Yes,93.0,Yes,Completed
PUB-0226,2026-04-05,2026-04-17,2026-04-19,Editorial,E-book,Low,Manual,Manual / NA,214,58.1,64.8,6.7,57609.79,64273.42,6663.63,2,No,76.0,No,Completed
PUB-0227,2025-03-10,2025-03-18,2025-03-13,Editorial,Assessment,Medium,AI-Assisted,Visual Brief,70,25.8,38.7,12.9,24807.45,37164.42,12356.97,0,Yes,84.0,Yes,Completed
PUB-0228,2025-04-13,2025-04-20,2025-04-15,Digital Learning,Assessment,High,AI-Assisted,Structured v3,48,16.9,26.5,9.6,15818.6,24796.31,8977.71,0,Yes,91.8,Yes,Completed
PUB-0229,2026-02-16,2026-03-07,2026-02-22,Editorial,E-book,Medium,AI-Assisted,Structured v3,198,47.2,83.0,35.8,38653.64,67954.68,29301.04,0,Yes,85.0,Yes,Completed
PUB-0230,2025-08-22,2025-09-01,2025-08-25,Editorial,E-book,Medium,AI-Assisted,Visual Brief,76,18.8,37.5,18.7,16372.14,32635.63,16263.49,0,Yes,98.8,Yes,Completed
PUB-0231,2026-06-13,2026-06-19,2026-06-15,Digital Learning,Illustration,Medium,AI-Assisted,Structured v3,43,12.9,19.3,6.4,11766.65,17600.73,5834.08,0,Yes,94.2,Yes,Completed
PUB-0232,2026-04-13,2026-04-27,2026-04-17,Editorial,Workbook,Medium,AI-Assisted,Few-shot v2,126,32.1,63.0,30.9,21355.54,41895.15,20539.61,0,Yes,99.0,Yes,Completed
PUB-0233,2026-05-01,2026-05-17,2026-05-07,Production,Workbook,High,AI-Assisted,Visual Brief,199,48.6,99.8,51.2,32796.52,67339.84,34543.32,0,Yes,89.7,Yes,Completed
PUB-0234,2025-07-31,2025-08-16,2025-08-06,Editorial,Workbook,Medium,AI-Assisted,Editorial QA,204,48.5,94.7,46.2,35725.12,69768.93,34043.81,0,Yes,85.2,Yes,Completed
PUB-0235,2025-11-09,2025-11-19,2025-11-10,Production,Illustration,Medium,AI-Assisted,Visual Brief,48,10.8,19.6,8.8,9831.44,17827.95,7996.51,0,Yes,88.4,Yes,Completed
PUB-0236,2025-10-17,2025-10-30,2025-10-23,Editorial,School Textbook,Medium,AI-Assisted,Visual Brief,171,45.9,72.0,26.1,51687.71,81052.2,29364.49,0,Yes,88.7,Yes,Completed
PUB-0237,2025-09-04,2025-09-13,2025-09-08,Digital Learning,Illustration,Medium,Manual,Manual / NA,55,28.7,28.0,0,28060.0,27411.92,0,0,Yes,84.7,Yes,Completed
PUB-0238,2025-07-14,2025-07-26,2025-07-17,Design,Illustration,High,AI-Assisted,Editorial QA,64,25.8,42.9,17.1,27675.91,46019.11,18343.2,0,Yes,94.7,Yes,Completed
PUB-0239,2026-04-28,2026-05-22,2026-05-22,Editorial,Workbook,High,Manual,Manual / NA,203,161.4,152.3,0,157722.88,148818.34,0,1,No,87.4,Yes,Completed
PUB-0240,2025-10-29,2025-11-13,2025-11-05,Design,School Textbook,High,AI-Assisted,Editorial QA,156,53.6,77.4,23.8,48252.79,69640.16,21387.37,0,Yes,84.8,Yes,Completed
PUB-0241,2025-02-25,2025-03-08,2025-03-04,Digital Learning,School Textbook,Medium,Manual,Manual / NA,95,48.9,46.1,0,42972.62,40512.49,0,0,Yes,83.0,Yes,Completed
PUB-0242,2025-07-01,2025-07-20,2025-07-12,Editorial,School Textbook,Low,AI-Assisted,Structured v3,206,53.3,89.2,35.9,54994.12,92057.11,37062.99,2,No,76.5,Yes,Completed
PUB-0243,2026-05-04,2026-05-10,2026-05-07,Design,School Textbook,High,AI-Assisted,Few-shot v2,11,4.6,7.6,3.0,3031.21,5037.65,2006.44,2,No,87.5,Yes,Completed
PUB-0244,2026-05-31,2026-06-14,2026-06-07,Production,School Textbook,High,Manual,Manual / NA,84,50.2,51.0,0.8,45785.35,46550.1,764.75,0,Yes,96.1,Yes,Completed
PUB-0245,2026-05-17,2026-06-02,2026-05-29,Design,School Textbook,Medium,Manual,Manual / NA,215,90.4,88.2,0,64690.5,63119.17,0,0,Yes,82.2,Yes,Completed
PUB-0246,2025-02-08,2025-02-15,2025-02-10,Design,Assessment,Medium,Manual,Manual / NA,10,3.3,3.7,0.4,3524.6,3957.71,433.11,1,No,81.6,Yes,Completed
PUB-0247,2025-09-16,2025-09-26,2025-09-19,Design,School Textbook,Medium,AI-Assisted,Editorial QA,85,19.7,32.5,12.8,18939.56,31234.24,12294.68,0,Yes,78.7,Yes,Completed
PUB-0248,2025-10-17,2025-10-28,,Editorial,School Textbook,High,AI-Assisted,Structured v3,75,32.2,56.8,24.6,27527.08,48586.61,21059.53,1,,93.1,,In Review
PUB-0249,2025-12-05,2025-12-16,,Editorial,School Textbook,Medium,AI-Assisted,Structured v3,154,30.3,60.5,30.2,27447.34,54797.76,27350.42,0,,92.4,,In Progress
PUB-0250,2025-10-31,2025-11-04,2025-11-03,Editorial,School Textbook,High,Manual,Manual / NA,18,10.6,10.4,0,9147.77,9006.69,0,2,No,84.3,Yes,Completed
PUB-0251,2025-06-24,2025-07-04,2025-06-29,Editorial,E-book,High,Manual,Manual / NA,76,39.8,38.2,0,29509.1,28298.1,0,0,Yes,89.3,Yes,Completed
PUB-0252,2026-03-08,2026-03-16,2026-03-09,Production,Illustration,High,AI-Assisted,Editorial QA,11,4.0,7.9,3.9,4422.45,8761.31,4338.86,0,Yes,88.0,Yes,Completed
PUB-0253,2026-01-24,2026-02-01,2026-01-31,Production,Assessment,Medium,Manual,Manual / NA,20,9.9,9.3,0,8616.41,8135.75,0,2,No,92.8,Yes,Completed
PUB-0254,2025-08-18,2025-08-23,,Digital Learning,Illustration,Medium,AI-Assisted,Few-shot v2,16,5.0,8.3,3.3,4909.28,8166.89,3257.61,0,,89.9,,In Review
PUB-0255,2025-02-25,2025-03-13,2025-03-02,Editorial,E-book,High,AI-Assisted,Few-shot v2,134,39.8,66.6,26.8,30663.75,51304.05,20640.3,0,Yes,92.7,Yes,Completed
PUB-0256,2025-08-29,2025-09-11,2025-09-05,Editorial,Workbook,Medium,AI-Assisted,Structured v3,135,31.2,52.1,20.9,30472.62,50910.36,20437.74,1,No,88.6,Yes,Completed
PUB-0257,2025-04-04,2025-04-18,2025-04-13,Digital Learning,E-book,Low,AI-Assisted,Visual Brief,151,44.5,62.9,18.4,37009.37,52284.2,15274.83,1,No,80.6,Yes,Completed
PUB-0258,2026-01-08,2026-01-15,2026-01-11,Production,School Textbook,Low,Manual,Manual / NA,64,23.1,23.0,0,24253.99,24141.74,0,0,Yes,87.0,Yes,Completed
PUB-0259,2025-06-18,2025-06-28,2025-06-21,Design,Illustration,Low,Manual,Manual / NA,56,20.8,22.7,1.9,23194.25,25315.48,2121.23,0,Yes,75.8,Yes,Completed
PUB-0260,2026-03-01,2026-03-11,2026-03-07,Editorial,Assessment,Medium,AI-Assisted,Structured v3,61,18.0,29.9,11.9,20374.69,33809.11,13434.42,2,No,88.4,Yes,Completed
PUB-0261,2026-05-10,2026-05-18,2026-05-11,Digital Learning,Illustration,Medium,Manual,Manual / NA,26,9.7,10.1,0.4,9217.65,9592.38,374.73,0,Yes,79.6,Yes,Completed
PUB-0262,2025-10-08,2025-10-19,2025-10-10,Design,Workbook,Medium,AI-Assisted,Editorial QA,43,14.6,22.1,7.5,11672.07,17669.7,5997.63,0,Yes,88.9,Yes,Completed
PUB-0263,2025-08-11,2025-08-17,2025-08-12,Editorial,Assessment,High,AI-Assisted,Few-shot v2,20,9.4,13.3,3.9,8478.3,11977.58,3499.28,0,Yes,87.8,Yes,Completed
PUB-0264,2026-03-04,2026-03-17,2026-03-09,Production,E-book,High,AI-Assisted,Visual Brief,116,35.4,72.7,37.3,25582.28,52560.82,26978.54,0,Yes,91.4,Yes,Completed
PUB-0265,2025-06-14,2025-06-19,2025-06-15,Digital Learning,Illustration,Low,AI-Assisted,Structured v3,41,9.1,16.1,7.0,7974.3,14113.58,6139.28,0,Yes,85.8,Yes,Completed
PUB-0266,2026-02-03,2026-02-12,,Editorial,Illustration,Medium,Manual,Manual / NA,40,14.2,14.8,0.6,12187.62,12714.11,526.49,0,,78.7,,In Progress
PUB-0267,2025-02-25,2025-03-17,,Editorial,Workbook,High,AI-Assisted,Editorial QA,121,58.1,89.5,31.4,56578.72,87183.21,30604.49,0,,81.8,,In Progress
PUB-0268,2025-10-29,2025-11-14,2025-11-06,Design,E-book,Medium,AI-Assisted,Visual Brief,196,50.6,86.8,36.2,46971.95,80599.39,33627.44,1,No,85.2,Yes,Completed
PUB-0269,2025-06-08,2025-06-22,2025-06-15,Editorial,E-book,Medium,AI-Assisted,Editorial QA,168,50.8,84.9,34.1,47566.0,79535.83,31969.83,0,Yes,90.0,Yes,Completed
PUB-0270,2026-06-02,2026-06-09,2026-06-03,Editorial,Assessment,Medium,AI-Assisted,Few-shot v2,31,7.4,13.4,6.0,8326.14,15097.18,6771.04,0,Yes,84.3,Yes,Completed
PUB-0271,2025-01-10,2025-01-24,2025-01-15,Editorial,Workbook,Low,AI-Assisted,Editorial QA,167,35.0,50.5,15.5,29424.02,42454.47,13030.45,0,Yes,92.2,Yes,Completed
PUB-0272,2026-06-14,2026-06-29,2026-06-24,Digital Learning,Workbook,Medium,Manual,Manual / NA,122,52.4,51.9,0,42452.19,42027.91,0,1,No,86.2,Yes,Completed
PUB-0273,2025-03-09,2025-03-18,2025-03-10,Editorial,Assessment,Low,AI-Assisted,Editorial QA,17,5.2,7.6,2.4,5307.58,7716.4,2408.82,0,Yes,89.9,Yes,Completed
PUB-0274,2025-12-06,2025-12-13,2025-12-07,Editorial,School Textbook,Medium,AI-Assisted,Structured v3,26,5.8,10.7,4.9,4895.29,8999.01,4103.72,0,Yes,87.1,Yes,Completed
PUB-0275,2025-05-02,2025-05-12,2025-05-03,Design,Assessment,Medium,AI-Assisted,Editorial QA,9,2.4,3.4,1.0,1687.36,2378.99,691.63,0,Yes,88.3,Yes,Completed
PUB-0276,2025-02-01,2025-02-11,2025-02-03,Design,Assessment,High,AI-Assisted,Few-shot v2,41,13.6,21.2,7.6,15056.35,23468.66,8412.31,0,Yes,91.2,Yes,Completed
PUB-0277,2025-01-12,2025-01-23,2025-01-14,Design,Assessment,Medium,AI-Assisted,Structured v3,54,17.0,30.7,13.7,17410.52,31431.23,14020.71,0,Yes,85.8,Yes,Completed
PUB-0278,2025-07-08,2025-07-14,2025-07-09,Editorial,Illustration,High,AI-Assisted,Structured v3,10,5.4,7.5,2.1,4755.42,6569.17,1813.75,0,Yes,93.7,Yes,Completed
PUB-0279,2025-04-11,2025-04-20,2025-04-13,Editorial,Assessment,Low,Manual,Manual / NA,49,18.2,20.3,2.1,17467.59,19443.66,1976.07,0,Yes,82.5,Yes,Completed
